,Name,Perc_ of balls faced,Perc_ of balls delivered,is Wicket keeper
0,Williams,5,94,0
1,Anshul Kamboj,6,93,0
2,Hooda,91,8,0
3,Rashid Khan,12,87,0
4,Saurav Chauhan,100,0,0
5,Starc,4,95,0
6,J Suchith,6,93,0
7,Kusal Mendis,100,0,0
8,Sai Kishore,3,96,0
9,Milne,0,100,0
10,Shepherd,29,70,0
11,Swapnil Singh,19,80,0
12,Nehal Wadhera,96,3,0
13,Bartlett,20,80,0
14,Litton Das,100,0,0
15,Shaik Rasheed,100,0,0
16,Wade,100,0,1
17,Akash Deep,4,95,0
18,Jansen,0,100,0
19,Nandre Burger,0,100,0
20,Kartikeya,5,94,0
21,Fraser-McGurk,100,0,0
22,Kuldeep Yadav,12,87,0
23,Ravindra,95,4,0
24,Ashwin,19,80,0
25,Arshad Khan,24,75,0
26,M Bracewell,41,58,0
27,Sediqullah Atal,100,0,0
28,Noor Ahmad,4,95,0
29,Boult,4,95,0
30,Robin Minz,100,0,0
31,Chetan Sakariya,0,100,0
32,Tye,0,100,0
33,du Plessis,100,0,0
34,Sumit Kumar,54,45,0
35,Vivrant Sharma,72,27,0
36,Rajapaksa,100,0,0
37,Mayers,85,14,0
38,Shai Hope,100,0,0
39,Jayant Yadav,0,100,0
40,Riyan Parag,83,16,0
41,Shivam Singh,100,0,0
42,Adil Rashid,27,72,0
43,Matt Henry,0,100,0
44,Pooran,100,0,1
45,Gowtham,16,83,0
46,Naman Dhir,80,19,0
47,Dhoni,100,0,1
48,Ripal Patel,100,0,0
49,Ferreira,100,0,0
50,Ramandeep Singh,77,22,0
51,S Kaul,0,100,0
52,Narine,28,71,0
53,Ishan Kishan,99,0,1
54,Dwayne Bravo,10,89,0
55,Raj Bawa,100,0,0
56,Harsh Dubey,0,100,0
57,Harshit Rana,7,92,0
58,Rossouw,100,0,0
59,Jackson,100,0,1
60,Sandeep,0,100,0
61,Varun Chakaravarthy,0,99,0
62,Ishant,1,98,0
63,Nitish Reddy,72,27,0
64,Shivam Dube,96,3,0
65,Ashutosh Sharma,100,0,0
66,Mayank,100,0,0
67,Hrithik Shokeen,24,75,0
68,Dhruv Jurel,100,0,0
69,Neesham,60,40,0
70,Arjun Tendulkar,10,89,0
71,Sandeep Sharma,1,98,0
72,Hasaranga,10,89,0
73,Jofra Archer,12,87,0
74,Kedar Jadhav,100,0,0
75,K Nagarkoti,0,100,0
76,Anmolpreet Singh,100,0,0
77,Musheer Khan,20,80,0
78,Khaleel Ahmed,0,99,0
79,Mitchell Marsh,74,25,0
80,Spencer Johnson,6,93,0
81,Kohli,100,0,0
82,Akash Madhwal,4,95,0
83,Stokes,70,30,0
84,Meredith,1,98,0
85,Chawla,6,93,0
86,Fazalhaq Farooqi,5,94,0
87,Pant,100,0,1
